ORG,Prod_Line,Date,Total_Cases_Produced
LOU,LOU1,7/6/2024,166181
LOU,LOU2,7/6/2024,90719
LOU,LOU3,7/6/2024,126126
LOU,LOU4,7/6/2024,897248
LOU,LOU2,7/7/2024,33167
LOU,LOU4,7/7/2024,674432
LOU,LOU5,7/7/2024,5527
LOU,LOU2,7/8/2024,99732
LOU,LOU3,7/8/2024,66682
LOU,LOU4,7/8/2024,165167
LOU,LOU5,7/8/2024,53647
LOU,LOU1,7/9/2024,40997
LOU,LOU2,7/9/2024,44195
LOU,LOU3,7/9/2024,81910
LOU,LOU4,7/9/2024,23991
LOU,LOU1,7/10/2024,78632
LOU,LOU2,7/10/2024,55992
LOU,LOU4,7/10/2024,588377
LOU,LOU5,7/10/2024,10346
LOU,LOU1,7/11/2024,500315
LOU,LOU2,7/11/2024,69875
LOU,LOU3,7/11/2024,45752
LOU,LOU4,7/11/2024,288094
LOU,LOU2,7/12/2024,77768
LOU,LOU3,7/12/2024,95914
LOU,LOU4,7/12/2024,816563
LOU,LOU5,7/12/2024,44990
LOU,LOU2,7/13/2024,82078
LOU,LOU3,7/13/2024,75020
LOU,LOU4,7/13/2024,899712
LOU,LOU5,7/13/2024,90302
LOU,LOU2,7/14/2024,71940
LOU,LOU4,7/14/2024,449856
LOU,LOU2,7/15/2024,53152
LOU,LOU3,7/15/2024,18040
LOU,LOU4,7/15/2024,625152
LOU,LOU5,7/15/2024,56260
LOU,LOU2,7/16/2024,61426
LOU,LOU3,7/16/2024,51784
LOU,LOU4,7/16/2024,630432
LOU,LOU2,7/17/2024,37075
LOU,LOU3,7/17/2024,26880
LOU,LOU4,7/17/2024,1195267
LOU,LOU1,7/18/2024,12545
LOU,LOU2,7/18/2024,52301
LOU,LOU3,7/18/2024,62616
LOU,LOU4,7/18/2024,400928
LOU,LOU5,7/18/2024,53838
LOU,LOU1,7/19/2024,97915
LOU,LOU2,7/19/2024,64325
LOU,LOU3,7/19/2024,93500
LOU,LOU4,7/19/2024,1566574
LOU,LOU1,7/20/2024,24287
LOU,LOU2,7/20/2024,67234
LOU,LOU5,7/20/2024,45283
LOU,LOU1,7/21/2024,104799
LOU,LOU2,7/21/2024,99241
LOU,LOU3,7/21/2024,74550
